"date","series"
gen 1966,41
feb 1966,39
mar 1966,50
apr 1966,40
mag 1966,43
giu 1966,38
lug 1966,44
ago 1966,35
set 1966,39
ott 1966,35
nov 1966,29
dic 1966,49
gen 1967,50
feb 1967,59
mar 1967,63
apr 1967,32
mag 1967,39
giu 1967,47
lug 1967,53
ago 1967,60
set 1967,57
ott 1967,52
nov 1967,70
dic 1967,90
gen 1968,74
feb 1968,62
mar 1968,55
apr 1968,84
mag 1968,94
giu 1968,70
lug 1968,108
ago 1968,139
set 1968,120
ott 1968,97
nov 1968,126
dic 1968,149
gen 1969,158
feb 1969,124
mar 1969,140
apr 1969,109
mag 1969,114
giu 1969,77
lug 1969,120
ago 1969,133
set 1969,110
ott 1969,92
nov 1969,97
dic 1969,78
gen 1970,99
feb 1970,107
mar 1970,112
apr 1970,90
mag 1970,98
giu 1970,125
lug 1970,155
ago 1970,190
set 1970,236
ott 1970,189
nov 1970,174
dic 1970,178
gen 1971,136
feb 1971,161
mar 1971,171
apr 1971,149
mag 1971,184
giu 1971,155
lug 1971,276
ago 1971,224
set 1971,213
ott 1971,279
nov 1971,268
dic 1971,287
gen 1972,238
feb 1972,213
mar 1972,257
apr 1972,293
mag 1972,212
giu 1972,246
lug 1972,353
ago 1972,339
set 1972,308
ott 1972,247
nov 1972,257
dic 1972,322
gen 1973,298
feb 1973,273
mar 1973,312
apr 1973,249
mag 1973,286
giu 1973,279
lug 1973,309
ago 1973,401
set 1973,309
ott 1973,328
nov 1973,353
dic 1973,354
gen 1974,327
feb 1974,324
mar 1974,285
apr 1974,243
mag 1974,241
giu 1974,287
lug 1974,355
ago 1974,460
set 1974,364
ott 1974,487
nov 1974,452
dic 1974,391
gen 1975,500
feb 1975,451
mar 1975,375
apr 1975,372
mag 1975,302
giu 1975,316
lug 1975,398
ago 1975,394
set 1975,431
ott 1975,431
